,date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,exhibition_flying_flag_1,exhibition_flying_flag_2,exhibition_flying_flag_3,exhibition_flying_flag_4,exhibition_flying_flag_5,exhibition_flying_flag_6,exhibition_late_flag_1,exhibition_late_flag_2,exhibition_late_flag_3,exhibition_late_flag_4,exhibition_late_flag_5,exhibition_late_flag_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,temperature,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,water_temperature,wave_height,weather,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,wind_speed
0,2019-11-05,戸　田,1,6.75,6.7,6.77,6.76,6.67,6.77,0.02,0.07,0.03,0.03,0.04,0.11,1,2,3,4,5,6.0,0,0,0,1,0,1,0,0,0,0,0,0,山　崎　　善　庸,末　永　　由　楽,齋　藤　　智　裕,梅　木　　敬　太,山　崎　　哲　司,武　田　　光　史,18.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,17.0,0,晴,51.4,51.0,56.7,51.4,52.0,54.0,0
1,2019-11-05,江戸川,1,6.66,6.76,6.72,6.72,6.7,6.8,0.01,0.06,0.01,0.06,0.04,0.01,1,2,3,4,5,6.0,0,0,1,0,1,1,0,0,0,0,0,0,太　田　　克　哉,山　田　　和　佐,白　石　　浩　二,間　野　　兼　礼,倉　田　　茂　将,竹　本　　太　樹,20.0,0.0,0.5,0.0,0.5,1.0,0.0,19.0,5,晴,51.0,53.0,51.0,51.6,54.5,53.8,3
2,2019-11-05,多摩川,1,6.76,6.71,6.74,6.69,6.75,6.73,0.03,0.13,0.09,0.07,0.01,0.03,1,2,3,4,5,6.0,0,0,0,0,0,1,0,0,0,0,0,0,深　水　　慎一郎,出　村　　卓　也,赤　池　　修　平,安　達　　裕　樹,松　本　　純　平,牧　山　　敦　也,18.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,19.0,2,晴,52.3,51.6,51.2,51.0,56.2,51.0,2
3,2019-11-05,常　滑,1,6.79,6.82,6.78,6.75,6.76,6.75,0.06,0.22,0.25,0.21,0.15,0.18,1,2,3,4,6,5.0,0,0,0,0,0,0,0,0,0,0,0,0,伏　見　　　　卓,夏　山　　亮　平,沓　名　　貴　輝,佐　藤　　　　旭,田　中　　博　子,大　内　　裕　樹,18.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,18.0,1,晴,51.7,57.0,51.0,52.2,50.8,54.3,2
4,2019-11-05,　津　,1,6.69,6.66,6.65,6.68,6.62,6.7,0.03,0.05,0.04,0.06,0.02,0.09,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,枝　尾　　　　賢,森　安　　弘　雅,沖　　　　　　悟,松　下　　　　潤,宮　内　　直　哉,寺　嶋　　　　雄,20.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,17.0,1,晴,51.0,50.5,51.0,53.2,51.1,50.5,1
5,2019-11-05,三　国,1,6.63,6.76,6.77,6.73,6.67,6.81,0.11,0.1,0.39,0.32,0.22,0.13,1,2,3,4,6,5.0,0,0,0,0,0,0,0,0,0,0,0,0,森　定　　晃　史,角　山　　雄　哉,伊　藤　　雄　二,吉　原　　聖　人,松　山　　裕　基,谷　口　　健　一,15.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,15.0,2,晴,51.1,53.5,51.2,51.0,52.4,54.2,2
6,2019-11-05,丸　亀,1,6.75,6.79,6.77,6.75,6.73,6.74,0.11,0.18,0.16,0.02,0.1,0.17,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,石　丸　　海　渡,三　角　　哲　男,横　澤　　剛　治,丸　岡　　正　典,川　崎　　智　幸,宮　地　　元　輝,13.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,20.0,2,晴,54.3,51.0,54.3,51.0,51.7,53.6,2
7,2019-11-05,徳　山,1,6.87,6.92,6.98,6.93,6.9,6.92,0.19,0.09,0.01,0.06,0.09,0.14,1,2,3,4,5,6.0,0,0,1,0,0,0,0,0,0,0,0,0,土　屋　　千　明,笠　野　　友紀恵,三　松　　直　美,黒　澤　　めぐみ,勝　浦　　真　帆,孫　崎　　百　世,20.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,21.0,2,晴,46.0,48.6,61.7,50.3,47.1,46.5,2
8,2019-11-05,若　松,1,6.94,6.96,6.87,6.9,6.94,6.91,0.08,0.06,0.02,0.01,0.03,0.06,1,2,3,6,4,5.0,0,1,1,0,1,0,0,0,0,0,0,0,三　瀬　　　　譲,山　下　　昂　大,金　森　　史　吉,川　合　　理　司,井　川　　真　人,土　屋　　太　朗,14.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,20.0,1,晴,53.3,54.7,52.5,60.1,55.5,53.4,1
9,2019-11-05,芦　屋,1,6.65,6.71,6.76,6.73,6.71,6.7,0.09,0.12,0.13,0.14,0.04,0.02,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,山　本　　隆　幸,杉　山　　裕　也,村　田　　修　次,桑　原　　　　悠,乙　藤　　智　史,前　田　　将　太,17.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,17.0,1,晴,51.0,52.6,51.0,51.0,53.1,51.0,1
